Name
Sushma Reddy
Sushmita Sen
Sumalatha
Suvalakshmi
Swati Reddy
Swapna
Swaroop Sampat
Swastika Mukherjee
Srinidhi Shetty
Swara Bhaskar
Suzanna Mukherjee
Tabu
Tahira Kochhar
Tanaaz Irani
Tanisha
Tanushree Dutta
Tanuja
Tanu Roy
Tanvi Azmi
Tamannaah Bhatia
Tannishtha Chatterjee
Taapsee Pannu
Tara
Tara Anuradha
Tara Deshpande
Tara D'Souza
Tara Sharma
Tarana Raja
Taruni Sachdev
Tejaswi Madivada
Tena Desae
Tia Bajpai
Tillotama Shome
Tina Munim
Tina Dutta
Tisca Chopra
Tripuramba
Trisha Krishnan
Tulip Joshi
Tun Tun
Twinkle Khanna
Tara Alisha Berry
Tara Sutaria
Udhayathara
Udaya Chandrika
Udita Goswami
Ujjwala Raut
Uma
Uma Padmanabhan
Umasashi
Umashree
Usha Chavan
Urmila Matondkar
Urmila Kanitkar
Urvashi
Urvashi Dholakia
Urvashi Sharma
Usha Kiran
Usha Nadkarni
Usha Naik
Ulka Gupta
Upasna Singh
Urvashi Rautela
Carol Gracias
Celina Jaitley
Chahat Khanna
Chandrakala
Chandrika
Charmila
Charmy Kaur
Charu Asopa
Chaya Singh
Chetana Das
Chetna Pande
Chhavi Mittal
Chippy
Chithra
Chitrangada Singh
Chitrashi Rawat
Catherine Tresa
Claudia Ciesla
Vaani Kapoor
Vanitha Vijayakumar
Vadivukkarasi
Vaidehi Parashurami
Vaishali Desai
Vaishali Kasaravalli
Vandana Gupte
Vanishree
Vanisri
Vani Bhojan
Vani Viswanath
Vanitha Vasu
Vaishnavi Mahant
Vrushika Mehta
Varalaxmi Sarathkumar
Varsha Bollamma
Varsha Usgaonkar
Vasundhara Das
Vedhika
Veda Sastry
Veena Malik
Veena Sundar
Veena
Vega Tamotia
Vibha Chibber
Vidhubala
Vidya Balan
Vithika Sheru
Vidya Malvade
Vidya Sinha
Vishakha Singh
Vijeta Pandit
Vijayalakshmi
Vijayalakshmi Singh
Vijayashanti
Vimala Raman
Vinaya Prasad
Vyjayantimala
Waheeda Rehman
Wamiqa Gabbi
Warina Hussain
Waluscha De Sousa
Yagna Shetty
Yami Gautam
Yamuna (actress)
Yashaswini Dayama
Yogeeta Bali
Yana Gupta
Yukta Mookhey
Yuvika Chaudhary
Zaheera
Zaira Wasim
Zarina Wahab
Zarine Khan
Zoya Afroz
Zoa Morani
Zeenat Aman
Zubeida
Zaheeda
Deepti Sati
Daisy Bopanna
Daisy Shah
Daisy Irani
Debashree Roy
Deeksha Seth
Deepa Sahi
Deepa Sannidhi
Deepal Shaw
Deepika Amin
Deepika Chikhalia
Deepika Padukone
Deepti Naval
Deepti Bhatnagar
Delnaaz Paul
Devayani
Devika
Devika Rani Roerich
Dharti Bhatt
Dia Mirza
Diana Hayden
Diana Penty
Digangana Suryavanshi
Dimple Jhangiani
Dimple Kapadia
Dipannita Sharma
Disha Parmar
Disha Patani
Disha Vakani
Divya Bharati
Divya Dutta
Divya Khosla Kumar
Divyanka Tripathi
Drashti Dhami
Durga Khote
Elli Avram
Esha Deol
Esha Gupta
Ena Saha
Eesha Rebba
Evelyn Sharma
Elina Samantray
Erica Fernandes
Farah Naaz
Farida Jalal
Fatima Sana Shaikh
Fatma Begum
Freida Pinto
Feryna Wazheir
Gabriela Bertante
Gajala
Gauahar Khan
Gauri Karnik
Gautami
Gayathri Raguram
Gayathrie
Gayatri
Gayatri Jayaraman
Gayatri Joshi
