subcat1,name,height, gender
Actor,Whitney Port,177.8,F
Actor,Laura Prepon,177.8,F
Actor,Richard Pryor,177.8,M
Actor,Edgar Ramirez,177.8,M
Actor,Dan Rather,177.8,M
Actor,Lou Rawls,177.8,F
Actor,Norman Reedus,177.8,M
Actor,Paul Reiser,177.8,M
Actor,James Remar,177.8,M
Actor,Cliff Richard,177.8,M
Actor,Joely Richardson,177.8,M
Actor,Linus Roache,177.8,M
Actor,Cliff Robertson,177.8,M
Actor,Andrew Robinson,177.8,M
Actor,Chris Rock,177.8,F
Actor,Sonia Rolland,177.8,F
Actor,Michael Rooker,177.8,M
Actor,Hrithik Roshan,177.8,M
Actor,Mercedes Ruehl,177.8,F
Actor,Doug Savant,177.8,M
Actor,Alexei Sayle,177.8,M
Actor,Til Schweiger,177.8,F
Actor,Matthew Settle,177.8,M
Actor,Glenn Shadix,177.8,M
Actor,Robert Shaw,177.8,M
Actor,John Shea,177.8,M
Actor,Michael Sheen,177.8,M
Actor,Sunil Shetty,177.8,M
Actor,Lori Singer,177.8,F
Actor,Irone Singleton,177.8,F
Actor,Rachel Skarsten,177.8,F
Actor,Slash ,177.8,F
Actor,John Slattery,177.8,M
Actor,Gregory Smith,177.8,M
Actor,Robert Smith,177.8,M
Actor,Jordin Sparks,177.8,M
Actor,Jesse Spencer,177.8,M
Actor,Brent Spiner,177.8,M
Actor,Nick Stahl,177.8,M
Actor,Scott Stapp,177.8,M
Actor,Rod Stewart,177.8,M
Actor,Joss Stone,177.8,F
Actor,Adam Storke,177.8,M
Actor,Peter Strauss,177.8,M
Actor,Patrick Swayze,177.8,M
Actor,Rod Taylor,177.8,M
Actor,Deborah Theaker,177.8,F
Actor,Philip Michael Thomas,177.8,M
Actor,Billy Bob Thornton,177.8,M
Actor,Jonathan Tucker,177.8,M
Actor,Shannon Tweed,177.8,F
Actor,Liv Tyler,177.8,F
Athlete,Mike Tyson,177.8,M
Athlete,Blair Underwood,177.8,F
Athlete,Kate Upton,177.8,F
Athlete,Peter Ustinov,177.8,M
Athlete,Mark Valley,177.8,M
Athlete,Mario Van Peebles,177.8,M
Athlete,Donnie Wahlberg,177.8,M
Athlete,Ally Walker,177.8,F
Athlete,Rudolph Walker,177.8,M
Athlete,Dylan Walsh,177.8,M
Athlete,Garrett Wang,177.8,M
Athlete,Gemma Ward,177.8,F
Athlete,Don Warrington,177.8,M
Athlete,Randy Wayne,177.8,M
Athlete,Jack Webb,177.8,M
Athlete,Robert Webb,177.8,M
Athlete,Paul Weller,177.8,M
Athlete,Paul Wesley,177.8,M
Athlete,Wil Wheaton,177.8,M
Athlete,Andy Whitfield,177.8,F
Athlete,Richard Widmark,177.8,M
Athlete,Anson Williams,177.8,M
Athlete,Barry Williams,177.8,M
Athlete,Billy Dee Williams,177.8,M
Athlete,Sam Witwer,177.8,F
Athlete,Edward Woodward,177.8,M
Athlete,Ishihara Yujiro,177.8,M
Athlete,Anthony Zerbe,177.8,M
Athlete,Rob Zombie,177.8,M
Athlete,Darrell Armstrong,180.97,M
Athlete,Rowan Atkinson,180.97,F
Athlete,Hank Azaria,180.97,M
Athlete,Javier Bardem,180.97,M
Athlete,David Blue,180.97,M
Athlete,Matt Bomer,180.97,M
Athlete,Timothy Bottoms,180.97,M
Athlete,Raoul Bova,180.97,M
Athlete,Thomas Haden Church,180.97,M
Athlete,Cary Elwes,180.97,F
Athlete,Joey Fatone,180.97,M
Athlete,Richard Hatch,180.97,M
Athlete,Stacy Keach,180.97,F
Singer,Adam Levine,180.97,M
Singer,Robert Maschio,180.97,M
Singer,Jason Mewes,180.97,M
Singer,Matthew Perry,180.97,M
Singer,Michael Rosenbaum,180.97,M
Singer,Dougray Scott,180.97,M
Singer,Seann William Scott,180.97,M
Singer,Mathew St. Patrick,180.97,M
Singer,Robert Stack,180.97,M
Singer,John Stamos,180.97,M
Singer,Shane West,180.97,M
Singer,Patrick Wilson,180.97,M
Singer,John Amos,181.61,M
Singer,David Anders,181.61,M
Singer,Jonas Armstrong,181.61,M
Singer,Alec Baldwin,181.61,M
Singer,Jay Baruchel,181.61,M
Singer,Adam Beach,181.61,M
Singer,David Beckham,181.61,M
Singer,Peter Berg,181.61,M
Singer,Zach Braff,181.61,M
Singer,Alton Brown,181.61,M
Singer,Sterling K Brown,181.61,M
Singer,Santiago Cabrera,181.61,M
